preventTargetGapPoints,pointsPayerId,userFlaggedDescription,itemPrice,originalMetaBriteQuantityPurchased,pointsNotAwardedReason,barcode,needsFetchReviewReason,originalMetaBriteDescription,userFlaggedBarcode,metabriteCampaignId,partnerItemId,userFlaggedQuantity,originalFinalPrice,pointsEarned,quantityPurchased,originalMetaBriteBarcode,priceAfterCoupon,userFlaggedNewItem,competitorRewardsGroup,receiptid,rewardsGroup,discountedItemPrice,originalMetaBriteItemPrice,itemNumber,targetPrice,needsFetchReview,description,finalPrice,deleted,userFlaggedPrice,competitiveProduct,originalReceiptItemText,brandCode,rewardsProductPartnerId
,5332f709e4b03c9a25efd0f1,,29,,,034100573065,,,,,9,,,870.0,1,,,,,5ff1e1b60a7214ada100055c,MILLER LITE 24 PACK,,,,77,,MILLER LITE 24 PACK 12OZ CAN,29,,,,,,5332f709e4b03c9a25efd0f1
,5332f709e4b03c9a25efd0f1,,29,,,034100573065,,,,,10,,,870.0,1,,,,,5ff1e1b60a7214ada100055c,MILLER LITE 24 PACK,,,,77,,MILLER LITE 24 PACK 12OZ CAN,29,,,,,,5332f709e4b03c9a25efd0f1
,,,1,,,075925306254,,,,,1,,,,1,,,,,5f9c74f70a7214ad07000037,KRAFT NATURAL CHEESE - SHREDDED,,,,,,,1,,,True,,,559c2234e4b06aca36af13c6
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,2,1,,,,,,True,,5f9c74f70a7214ad07000037,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,3,1,,,,,,True,,5f9c74f70a7214ad07000037,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,4,1,,,,,,True,,5f9c74f70a7214ad07000037,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,5,1,,,,,,True,,5f9c74f70a7214ad07000037,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,6,1,,,,,,True,,5f9c74f70a7214ad07000037,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,7,1,,,,,,True,,5f9c74f70a7214ad07000037,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,8,1,,,,,,True,,5f9c74f70a7214ad07000037,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,9,1,,,,,,True,,5f9c74f70a7214ad07000037,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,10,1,,,,,,True,,5f9c74f70a7214ad07000037,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,11,1,,,,,,True,,5f9c74f70a7214ad07000037,,,,,,True,,,,29.00,,,,
,,,1,,,4011,,,,,1,,,,1,,,,,5ff1e1b20a7214ada100055a,,,,,,,ITEM NOT FOUND,1,,,,,,
True,,,,,,,USER_FLAGGED,,4011,,1,3,,,,,,True,,5ff1e1e90a7214ada1000569,,,,,,True,,,,25.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,2,3,,,,,,True,,5ff1e1e90a7214ada1000569,,,,,,True,,,,27.00,,,,
,,,1,,,4011,,,,,1,,,,1,,,,,5ff1e1df0a7214ada1000564,,,,,,False,ITEM NOT FOUND,1,,,,,,
True,5332f5fbe4b03c9a25efd0ba,,10.00,,Action not allowed for user and CPG,028400642255,,,028400642255,,2,1,,,1,,,True,,5ff1e1df0a7214ada1000564,DORITOS SPICY SWEET CHILI SINGLE SERVE,,,,800,False,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,,10.00,,,,5332f5fbe4b03c9a25efd0ba
,,,1,,,075925306254,,,,,1,,,,1,,,,,5ff1e1b40a7214ada100055b,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,,,,,,,1,,,True,,,5e7cf838f221c312e698a628
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,2,1,,,,,,True,,5ff1e1b40a7214ada100055b,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,3,1,,,,,,True,,5ff1e1b40a7214ada100055b,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,4,1,,,,,,True,,5ff1e1b40a7214ada100055b,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,5,1,,,,,,True,,5ff1e1b40a7214ada100055b,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,6,1,,,,,,True,,5ff1e1b40a7214ada100055b,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,7,1,,,,,,True,,5ff1e1b40a7214ada100055b,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,8,1,,,,,,True,,5ff1e1b40a7214ada100055b,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,9,1,,,,,,True,,5ff1e1b40a7214ada100055b,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,10,1,,,,,,True,,5ff1e1b40a7214ada100055b,,,,,,True,,,,29.00,,,,
True,,MILLER LITE 24 PACK 12OZ CAN,,,,,USER_FLAGGED,,034100573065,,11,1,,,,,,True,,5ff1e1b40a7214ada100055b,,,,,,True,,,,29.00,,,,
True,,,26.00,,,4011,,,4011,,1,2,,,2,,,True,,5ff1e1eb0a720f0523000576,,,,,,False,ITEM NOT FOUND,26.00,,26.00,,,,
,,,1,,,4011,,,,,1,,,,1,,,,,5ff1e1c80a720f052300056d,,,,,,,ITEM NOT FOUND,1,,,,,,
True,,,,,,1234,USER_FLAGGED,,1234,,2,,,,,,,True,,5ff1e1c80a720f052300056d,,,,,,True,,,,,,,,
,,,1,,,075925306254,,,,,1,,,,1,,,,,5f9c74f90a7214ad07000038,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,,,,,False,,1,,,True,,,5e7cf838f221c312e698a628
True,,,10.00,2,,075925306254,,,075925306254,,2,2,10.00,,2,075925306254,,True,,5f9c74f90a7214ad07000038,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,,10.00,,,False,,10.00,,10.00,True,,,5e7cf838f221c312e698a628
True,5332f709e4b03c9a25efd0f1,,1.00,1,,034100573065,,MILLER LITE 24 PACK 12OZ CAN,034100573065,,3,1,1.00,30.0,1,034100573065,,True,,5f9c74f90a7214ad07000038,MILLER LITE 24 PACK,,1.00,,77,False,MILLER LITE 24 PACK 12OZ CAN,1.00,,1.00,,,,5332f709e4b03c9a25efd0f1
True,5332f709e4b03c9a25efd0f1,,1.00,1,,034100573065,,MILLER LITE 24 PACK 12OZ CAN,034100573065,,4,1,1.00,30.0,1,034100573065,,True,,5f9c74f90a7214ad07000038,MILLER LITE 24 PACK,,1.00,,77,False,MILLER LITE 24 PACK 12OZ CAN,1.00,,1.00,,,,5332f709e4b03c9a25efd0f1
True,5332f709e4b03c9a25efd0f1,,1.00,,,034100573065,,,034100573065,,5,1,,30.0,1,,,True,,5f9c74f90a7214ad07000038,MILLER LITE 24 PACK,,,,77,False,MILLER LITE 24 PACK 12OZ CAN,1.00,,1.00,,,,5332f709e4b03c9a25efd0f1
,,,1,,,4011,,,,,1,,,,1,,,,,5ff1e1960a720f0523000567,,,,,,,ITEM NOT FOUND,1,,,,,,
True,,,21.00,,,4011,,,4011,,1,2,,,2,,,True,,5ff1e1ec0a7214ada100056c,,,,,,False,ITEM NOT FOUND,21.00,,21.00,,,,
,5332f5f6e4b03c9a25efd0b4,,1,,,041000168468,,,,,1,,,10.0,1,,,,,5ff1e1d70a720f0523000571,KNORR SIDES,,,,800,,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,1,,,,,,5332f5f6e4b03c9a25efd0b4
,5332f5f6e4b03c9a25efd0b4,,1,,,2700719497082,,,,,2,,,10.0,1,,,,,5ff1e1d70a720f0523000571,NEXXUS HAIR CARE,,,,800,,NEXXUS REPLENISHING HAIR TREATMENT LIQUID RP 33.8 OZ,1,,,,,,5332f5f6e4b03c9a25efd0b4
,,,1,,,4011,,,,,1,,,,1,,,,,5ff1e1c60a7214ada100055e,,,,,,,ITEM NOT FOUND,1,,,,,,
True,,,,,,1234,USER_FLAGGED,,1234,,2,,,,,,,True,,5ff1e1c60a7214ada100055e,,,,,,True,,,,,,,,
True,,,27.00,,,4011,,,4011,,1,5,,,5,,,True,,5ff1e1ee0a7214ada1000570,,,,,,False,ITEM NOT FOUND,27.00,,27.00,,,,
,,,1,,,4011,,,,,1,,,,1,,,,,5ff1e1cf0a720f0523000570,,,,,,,ITEM NOT FOUND,1,,,,,,
True,,,,,,1234,USER_FLAGGED,,1234,,2,,,,,,,True,,5ff1e1cf0a720f0523000570,,,,,,True,,,,,,,,
True,5332f5f6e4b03c9a25efd0b4,,1,,,079400066619,,,079400066619,,1,,,10.0,1,080878042197,,,,5ff1e1e10a720f0523000572,SUAVE HAIR CARE,,,,800,False,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,,,True,,,5332f5f6e4b03c9a25efd0b4
,,,1,,,,,,,,1,,,,1,,,,,5ff1e1d40a7214ada1000562,,,,,,,DELETED ITEM,1,True,,,,,
,,,2,,,051500720011,,,,,2,,,,2,,,,,5ff1e1d40a7214ada1000562,,,,,,,JIF CRMY PNT BTR JAR 40 OZ,2,,,,,,
True,,,27.00,,,4011,,,4011,,1,4,,,4,,,True,,5ff1e1ee0a720f0523000578,,,,,,False,ITEM NOT FOUND,27.00,,27.00,,,,
,559c2234e4b06aca36af13c6,,1,,,087684001127,,,,,1,,,5.0,1,,,,,5ff371030a7214ada10005a5,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,,,800,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,1,,,087684001127,,,,,2,,,5.0,1,,,,,5ff371030a7214ada10005a5,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,,,800,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,1,,,087684001127,,,,,3,,,5.0,1,,,,,5ff371030a7214ada10005a5,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,,,800,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,1,,,087684001127,,,,,4,,,5.0,1,,,,,5ff371030a7214ada10005a5,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,,,800,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,1,,,087684001127,,,,,5,,,5.0,1,,,,,5ff371030a7214ada10005a5,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,,,800,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,1,,,087684001127,,,,,6,,,5.0,1,,,,,5ff371030a7214ada10005a5,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,,,800,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,1,,,087684001127,,,,,7,,,5.0,1,,,,,5ff371030a7214ada10005a5,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,,,800,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,1,,,087684001127,,,,,8,,,5.0,1,,,,,5ff371030a7214ada10005a5,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,,,800,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,1,,,087684001127,,,,,9,,,5.0,1,,,,,5ff371030a7214ada10005a5,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,,,800,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,1,,,087684001127,,,,,10,,,5.0,1,,,,,5ff371030a7214ada10005a5,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,,,800,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,,,,,559c2234e4b06aca36af13c6
,,,0.99,,,071040063102,,,,,1,,,,1,,,,,5ff36dcc0a720f05230005b1,SARGENTO STRING OR STICK CHEESE,,,,,,,0.99,,,True,,,5e7cf838f221c312e698a628
,559c2234e4b06aca36af13c6,,9.99,,,029000079236,,,,,1,,,50.0,1,,,,,5ff36c750a7214ada100058f,PLANTERS CASHEWS,,,,800,,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,029000079236,,,,,2,,,50.0,1,,,,,5ff36c750a7214ada100058f,PLANTERS CASHEWS,,,,800,,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,029000079236,,,,,3,,,50.0,1,,,,,5ff36c750a7214ada100058f,PLANTERS CASHEWS,,,,800,,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,029000079236,,,,,4,,,50.0,1,,,,,5ff36c750a7214ada100058f,PLANTERS CASHEWS,,,,800,,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,029000079236,,,,,5,,,50.0,1,,,,,5ff36c750a7214ada100058f,PLANTERS CASHEWS,,,,800,,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,029000079236,,,,,6,,,50.0,1,,,,,5ff36c750a7214ada100058f,PLANTERS CASHEWS,,,,800,,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,029000079236,,,,,7,,,50.0,1,,,,,5ff36c750a7214ada100058f,PLANTERS CASHEWS,,,,800,,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,029000079236,,,,,8,,,50.0,1,,,,,5ff36c750a7214ada100058f,PLANTERS CASHEWS,,,,800,,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,029000079236,,,,,9,,,50.0,1,,,,,5ff36c750a7214ada100058f,PLANTERS CASHEWS,,,,800,,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,1,,,041129002292,,,,,1,,,5.0,1,,,,,5ff36d860a720f05230005a7,CLASSICO PESTO,,,,800,,CLASSICO Traditional Basil Pesto 14OZ 12pack,1,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,1,,,043000946060,,,,,1,,,5.0,1,,,,,5ff36d9f0a720f05230005ab,KOOL-AID BURSTS DRINK,,,,800,,K9 Crystal Chandelier with 4 Lights in Globe Shape,1,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,044700009888,,,,,1,,,50.0,1,,,,,5ff36adb0a720f0523000590,OSCAR MAYER LUNCH MEAT,,,,800,,"OSCAR MAYER Cotto Salami, 12 oz",9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,044700009888,,,,,2,,,50.0,1,,,,,5ff36adb0a720f0523000590,OSCAR MAYER LUNCH MEAT,,,,800,,"OSCAR MAYER Cotto Salami, 12 oz",9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,044700009888,,,,,3,,,50.0,1,,,,,5ff36adb0a720f0523000590,OSCAR MAYER LUNCH MEAT,,,,800,,"OSCAR MAYER Cotto Salami, 12 oz",9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,044700009888,,,,,4,,,50.0,1,,,,,5ff36adb0a720f0523000590,OSCAR MAYER LUNCH MEAT,,,,800,,"OSCAR MAYER Cotto Salami, 12 oz",9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,044700009888,,,,,5,,,50.0,1,,,,,5ff36adb0a720f0523000590,OSCAR MAYER LUNCH MEAT,,,,800,,"OSCAR MAYER Cotto Salami, 12 oz",9.99,,,,,,559c2234e4b06aca36af13c6
,,,1,,,021000012961,,,,,1,,,,1,,,,,5ff36da00a7214ada100059b,SARGENTO STRING OR STICK CHEESE,,,,,,,1,,,True,,,5e7cf838f221c312e698a628
,,,9.99,,,021000678358,,,,,1,,,,1,,,,,5ff36dc40a7214ada100059f,,,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,,,,,,559c2234e4b06aca36af13c6
,,,9.99,,,021000678358,,,,,2,,,,1,,,,,5ff36dc40a7214ada100059f,,,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,,,,,,559c2234e4b06aca36af13c6
,,,9.99,,,021000678358,,,,,3,,,,1,,,,,5ff36dc40a7214ada100059f,,,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,,,,,,559c2234e4b06aca36af13c6
,,,9.99,,,021000678358,,,,,4,,,,1,,,,,5ff36dc40a7214ada100059f,,,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,,,,,,559c2234e4b06aca36af13c6
,,,9.99,,,021000678358,,,,,5,,,,1,,,,,5ff36dc40a7214ada100059f,,,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,,,,,,559c2234e4b06aca36af13c6
,,,9.99,,,021000678358,,,,,6,,,,1,,,,,5ff36dc40a7214ada100059f,,,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,,,,,,559c2234e4b06aca36af13c6
,,,9.99,,,021000678358,,,,,7,,,,1,,,,,5ff36dc40a7214ada100059f,,,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,,,,,,559c2234e4b06aca36af13c6
,,,9.99,,,021000678358,,,,,8,,,,1,,,,,5ff36dc40a7214ada100059f,,,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,,,,,,559c2234e4b06aca36af13c6
,,,9.99,,,021000678358,,,,,9,,,,1,,,,,5ff36dc40a7214ada100059f,,,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,044700033302,,,,,1,,,50.0,1,,,,,5ff3710b0a7214ada10005a7,OSCAR MAYER CARVING BOARD,,,,800,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,044700033302,,,,,2,,,50.0,1,,,,,5ff3710b0a7214ada10005a7,OSCAR MAYER CARVING BOARD,,,,800,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,044700033302,,,,,3,,,50.0,1,,,,,5ff3710b0a7214ada10005a7,OSCAR MAYER CARVING BOARD,,,,800,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,044700033302,,,,,4,,,50.0,1,,,,,5ff3710b0a7214ada10005a7,OSCAR MAYER CARVING BOARD,,,,800,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,044700033302,,,,,5,,,50.0,1,,,,,5ff3710b0a7214ada10005a7,OSCAR MAYER CARVING BOARD,,,,800,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,,,,,,559c2234e4b06aca36af13c6
,559c2234e4b06aca36af13c6,,9.99,,,044700033302,,,,,6,,,50.0,1,,,,,5ff3710b0a7214ada10005a7,OSCAR MAYER CARVING BOARD,,,,800,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,,,,,,559c2234e4b06aca36af13c6
